town,puma_code,puma_name
Andover,09 01300,Tolland County PUMA
Ansonia,09 00903,"Hamden, Ansonia, Seymour, Derby, Woodbridge & Bethany Towns PUMA"
Ashford,09 01500,Windham County PUMA
Avon,09 00303,"West Hartford, Farmington, Simsbury, Bloomfield, Avon & Canton Towns PUMA"
Barkhamsted,09 00500,Litchfield County PUMA
Beacon Falls,09 00900,New Haven County (Northwest) PUMA
Berlin,09 00305,"New Britain, Berlin & Plainville Towns PUMA"
Bethany,09 00903,"Hamden, Ansonia, Seymour, Derby, Woodbridge & Bethany Towns PUMA"
Bethel,09 00100,"Danbury, Ridgefield, Bethel, Brookfield, New Fairfield, Redding & Sherman Towns PUMA"
Bethlehem,09 00500,Litchfield County PUMA
Bloomfield,09 00303,"West Hartford, Farmington, Simsbury, Bloomfield, Avon & Canton Towns PUMA"
Bolton,09 01300,Tolland County PUMA
Bozrah,09 01100,New London County (North) PUMA
Branford,09 00906,"East Haven, Branford, Guilford, Madison & North Branford Towns PUMA"
Bridgeport,09 00104,Bridgeport Town PUMA
Bridgewater,09 00500,Litchfield County PUMA
Bristol,09 00304,"Bristol, Southington & Burlington Towns PUMA"
Brookfield,09 00100,"Danbury, Ridgefield, Bethel, Brookfield, New Fairfield, Redding & Sherman Towns PUMA"
Brooklyn,09 01500,Windham County PUMA
Burlington,09 00304,"Bristol, Southington & Burlington Towns PUMA"
Canaan,09 00500,Litchfield County PUMA
Canterbury,09 01500,Windham County PUMA
Canton,09 00303,"West Hartford, Farmington, Simsbury, Bloomfield, Avon & Canton Towns PUMA"
Chaplin,09 01500,Windham County PUMA
Cheshire,09 00900,New Haven County (Northwest) PUMA
Chester,09 00700,Middlesex County PUMA
Clinton,09 00700,Middlesex County PUMA
Colchester,09 01100,New London County (North) PUMA
Colebrook,09 00500,Litchfield County PUMA
Columbia,09 01300,Tolland County PUMA
Cornwall,09 00500,Litchfield County PUMA
Coventry,09 01300,Tolland County PUMA
Cromwell,09 00700,Middlesex County PUMA
Danbury,09 00100,"Danbury, Ridgefield, Bethel, Brookfield, New Fairfield, Redding & Sherman Towns PUMA"
Darien,09 00103,"Norwalk, Westport & Darien Towns PUMA"
Deep River,09 00700,Middlesex County PUMA
Derby,09 00903,"Hamden, Ansonia, Seymour, Derby, Woodbridge & Bethany Towns PUMA"
Durham,09 00700,Middlesex County PUMA
East Granby,09 00300,Hartford County (North) PUMA
East Haddam,09 00700,Middlesex County PUMA
