town_name,PUMA2020code,PUMA2020name
Glastonbury,20205,"Glastonbury, Wethersfield, Rocky Hill & Newington Towns"
Goshen,20100,Northwest Hills
Granby,20207,Capitol West
Greenwich,20901,Stamford & Greenwich Towns
Griswold,20402,Inland Southeastern
Groton,20401,Shoreline Southeastern
Guilford,20604,South Central East
Haddam,20500,Lower Connecticut River Valley
Hamden,20603,South Central North
Hampton,20301,Northeastern Planning Region & Stafford Town
Hartford,20201,Hartford Town
Hartland,20100,Northwest Hills
Harwinton,20100,Northwest Hills
Hebron,20203,Capitol East
Kent,20100,Northwest Hills
Killingly,20301,Northeastern Planning Region & Stafford Town
Killingworth,20500,Lower Connecticut River Valley
Lebanon,20402,Inland Southeastern
Ledyard,20402,Inland Southeastern
Lisbon,20402,Inland Southeastern
Litchfield,20100,Northwest Hills
Lyme,20500,Lower Connecticut River Valley
Madison,20604,South Central East
Manchester,20204,"East Hartford, Manchester & Vernon Towns"
Mansfield,20203,Capitol East
Marlborough,20203,Capitol East
Meriden,20603,South Central North
Middlebury,20702,Naugatuck Valley North
Middlefield,20500,Lower Connecticut River Valley
Middletown,20500,Lower Connecticut River Valley
Milford,20602,South Central West
Monroe,20802,Bridgeport Suburban
Montville,20402,Inland Southeastern
Morris,20100,Northwest Hills
Naugatuck,20703,Naugatuck Valley South
New Britain,20206,"New Britain, Southington, Berlin & Plainville Towns"
New Canaan,20902,Western Central
New Fairfield,20904,Western North
New Hartford,20100,Northwest Hills
New Haven,20601,New Haven Town
New London,20401,Shoreline Southeastern
New Milford,20904,Western North
Newington,20205,"Glastonbury, Wethersfield, Rocky Hill & Newington Towns"
Newtown,20904,Western North
Norfolk,20100,Northwest Hills
North Branford,20604,South Central East
North Canaan,20100,Northwest Hills
North Haven,20604,South Central East
North Stonington,20402,Inland Southeastern
Norwalk,20903,Norwalk & Westport Towns
Norwich,20402,Inland Southeastern
Old Lyme,20500,Lower Connecticut River Valley
Old Saybrook,20500,Lower Connecticut River Valley
Orange,20602,South Central West
Oxford,20703,Naugatuck Valley South
Plainfield,20301,Northeastern Planning Region & Stafford Town
Plainville,20206,"New Britain, Southington, Berlin & Plainville Towns"
Plymouth,20702,Naugatuck Valley North
Pomfret,20301,Northeastern Planning Region & Stafford Town
Portland,20500,Lower Connecticut River Valley
Preston,20402,Inland Southeastern
Prospect,20702,Naugatuck Valley North
Putnam,20301,Northeastern Planning Region & Stafford Town
Redding,20902,Western Central
Ridgefield,20902,Western Central
Rocky Hill,20205,"Glastonbury, Wethersfield, Rocky Hill & Newington Towns"
Roxbury,20100,Northwest Hills
Salem,20402,Inland Southeastern
Salisbury,20100,Northwest Hills
Scotland,20301,Northeastern Planning Region & Stafford Town
Seymour,20703,Naugatuck Valley South
Sharon,20100,Northwest Hills
Shelton,20703,Naugatuck Valley South
Sherman,20904,Western North
Simsbury,20207,Capitol West
Somers,20203,Capitol East
South Windsor,20202,Connecticut River North
Southbury,20703,Naugatuck Valley South
Southington,20206,"New Britain, Southington, Berlin & Plainville Towns"
Sprague,20402,Inland Southeastern
Stafford,20301,Northeastern Planning Region & Stafford Town
Stamford,20901,Stamford & Greenwich Towns
Sterling,20301,Northeastern Planning Region & Stafford Town
Stonington,20401,Shoreline Southeastern
Stratford,20802,Bridgeport Suburban
Suffield,20202,Connecticut River North
Thomaston,20702,Naugatuck Valley North
Thompson,20301,Northeastern Planning Region & Stafford Town
Tolland,20203,Capitol East
Torrington,20100,Northwest Hills
Trumbull,20802,Bridgeport Suburban
Union,20301,Northeastern Planning Region & Stafford Town
Vernon,20204,"East Hartford, Manchester & Vernon Towns"
Voluntown,20301,Northeastern Planning Region & Stafford Town
Wallingford,20603,South Central North
Warren,20100,Northwest Hills
Washington,20100,Northwest Hills
Waterbury,20701,Waterbury Town
Waterford,20401,Shoreline Southeastern
Watertown,20702,Naugatuck Valley North
West Hartford,20207,Capitol West
West Haven,20602,South Central West
Westbrook,20500,Lower Connecticut River Valley
Weston,20902,Western Central
Westport,20903,Norwalk & Westport Towns
Wethersfield,20205,"Glastonbury, Wethersfield, Rocky Hill & Newington Towns"
Willington,20203,Capitol East
Wilton,20902,Western Central
Winchester,20100,Northwest Hills
Windham,20402,Inland Southeastern
Windsor,20202,Connecticut River North
Windsor Locks,20202,Connecticut River North
Wolcott,20702,Naugatuck Valley North
Woodbridge,20602,South Central West
Woodbury,20702,Naugatuck Valley North
Woodstock,20301,Northeastern Planning Region & Stafford Town
