town_name,PUMA2020code,PUMA2020name
Andover,20203,Capitol East
Ansonia,20703,Naugatuck Valley South
Ashford,20301,Northeastern Planning Region & Stafford Town
Avon,20207,Capitol West
Barkhamsted,20100,Northwest Hills
Beacon Falls,20703,Naugatuck Valley South
Berlin,20206,"New Britain, Southington, Berlin & Plainville Towns"
Bethany,20602,South Central West
Bethel,20904,Western North
Bethlehem,20702,Naugatuck Valley North
Bloomfield,20202,Connecticut River North
Bolton,20203,Capitol East
Bozrah,20402,Inland Southeastern
Branford,20604,South Central East
Bridgeport,20801,Bridgeport Town
Bridgewater,20904,Western North
Bristol,20702,Naugatuck Valley North
Brookfield,20904,Western North
Brooklyn,20301,Northeastern Planning Region & Stafford Town
Burlington,20100,Northwest Hills
Canaan,20100,Northwest Hills
Canterbury,20301,Northeastern Planning Region & Stafford Town
Canton,20207,Capitol West
Chaplin,20301,Northeastern Planning Region & Stafford Town
Cheshire,20702,Naugatuck Valley North
Chester,20500,Lower Connecticut River Valley
Clinton,20500,Lower Connecticut River Valley
Colchester,20402,Inland Southeastern
Colebrook,20100,Northwest Hills
Columbia,20203,Capitol East
Cornwall,20100,Northwest Hills
Coventry,20203,Capitol East
Cromwell,20500,Lower Connecticut River Valley
Danbury,20904,Western North
Darien,20902,Western Central
Deep River,20500,Lower Connecticut River Valley
Derby,20703,Naugatuck Valley South
Durham,20500,Lower Connecticut River Valley
East Granby,20207,Capitol West
East Haddam,20500,Lower Connecticut River Valley
East Hampton,20500,Lower Connecticut River Valley
East Hartford,20204,"East Hartford, Manchester & Vernon Towns"
East Haven,20604,South Central East
East Lyme,20401,Shoreline Southeastern
East Windsor,20202,Connecticut River North
Eastford,20301,Northeastern Planning Region & Stafford Town
Easton,20802,Bridgeport Suburban
Ellington,20203,Capitol East
Enfield,20202,Connecticut River North
Essex,20500,Lower Connecticut River Valley
Fairfield,20802,Bridgeport Suburban
Farmington,20207,Capitol West
Franklin,20402,Inland Southeastern
